Travel Branding;Name/Line;Location;Regio;Route;Vervoersregio;Concessie;Transport company;Formula Promise;Materieel;Note;Prijs km;Type;Category;Distance;Avg. Speed;;Average Stop distance;;Stations;Duration;Frequency (max);;Peak Pax day;Use of Buslane?;Dinstance on Buslane;Max speed;Promoted Speed;Operating hours;Connected to Hubs?;Kind of Hub;Source;;;;PvE
Q-liner;312;;Groningen;Stadskanaal - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;47810;46,3;;2173,2;;22;62;5;;;;;100;;;;;Q-liner (qbuzz.nl);;;;C:\Users\eichlas\Downloads\Ontwerp-Programma-van-eisen-OV-concesssies-Utrecht-Binnen-en-Utrecht-Buiten.pdf
Q-liner;300;;Groningen;Emmen - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;58079;61,1;;7259,9;;8;57;5;;;;;100;;;;;Q-liner (qbuzz.nl);;;;C:\Users\eichlas\Downloads\Ontwerp-Programma-van-eisen-OV-concesssies-Utrecht-Binnen-en-Utrecht-Buiten.pdf
Q-liner;314;;Groningen;Drachten - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;40851;50;;3404,2;;12;49;5;;;;;100;;;;;Q-liner (qbuzz.nl);;;;
Q-liner;304;;Groningen;Drachten - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;41094;54,8;;3424,5;;12;45;4;;;;;100;;;;;Q-liner (qbuzz.nl);;;;
Q-liner;310;;Groningen;Assem - Veendam;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;37111;49,5;;1855,6;;20;45;3;;;;;100;;;;;Q-liner (qbuzz.nl);;;;
Q-liner;355;;Groningen;Dokkum - Leeuwaarden;;;Arriva;;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;30344;46,7;;3371,6;;9;39;2;;;;;;;;Y;Busstation - Busstation;ontwerp_programma_van_eisen_busconcessie_2024-2034.pdf (sim-cdn.nl);;;;
Q-liner;309;;Groningen;Assen - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;28633;44,1;;1908,9;;15;39;11;;;;;100;;;;;Q-liner (qbuzz.nl);;;;
Q-liner;356;;Groningen;Dokkum - Drachten;;;Arriva;;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;40068;63,3;;5723,9;;7;38;1;;;;;;;;Y;Busstation - Transferium;ontwerp_programma_van_eisen_busconcessie_2024-2034.pdf (sim-cdn.nl);;;;
Q-link;15;;Groningen;Zernike Campus - Hoofdstation;;;Qbuzz;Direct, frequent, fast, comfort;;;;City HOV;2;7220;25,5;;1031,4;;7;17;8;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;11;;Groningen;P+R Reitdiep - Hoofdstation;;;Qbuzz;Direct, frequent, fast, comfort;;;;City HOV;2;10147;30,4;;780,5;;13;20;2;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;6;;Groningen;P+R Haren A28 - Delfzijl;;;Qbuzz;Direct, frequent, fast, comfort;;;;To-city HOV;3;36547;26,7;;745,9;;49;82;4;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;4;;Groningen;Roden - Beijum;;;Qbuzz;Direct, frequent, fast, comfort;;;;To-city HOV;3;26412;25,6;;677,2;;39;62;5;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;1;;Groningen;P+R Reitdiep - Hofdstation;;;Qbuzz;Direct, frequent, fast, comfort;;;;City HOV;2;7484;18;;393,9;;19;25;2;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;2;;Groningen;Zuidhorn - Groningen Europapark;;;Qbuzz;Direct, frequent, fast, comfort;;;;City HOV;2;9671;14,5;;372;;26;40;3;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;5;;Groningen;Annen Torsluis / Harkstede;;;Qbuzz;Direct, frequent, fast, comfort;;;;To-city HOV;3;15552;11,8;;317,4;;49;79;4;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;3;;Groningen;Tolbert / Leek Oostindie - Ruischerbrug;;;Qbuzz;Direct, frequent, fast, comfort;;;;To-city HOV;3;;;;;;42;63;6;;;;;;;;;;Q-link (qbuzz.nl);;;;
R-net;436;;;Rotterdam - Dirksland;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;Variable timetable;;To-city HOV;3;71212;57;;6473,8;;11;75;3;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;437;;;Rotterdam - Dirksland ( spitssneldienst);;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;Only spits;;To-city HOV;3;53747;52;;5971,9;;9;62;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;346;;;Haarlem – Amsterdam Zuid;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;28404;32,2;;2840,4;;10;53;8;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;470;;;Alphen aan den Rijn - Schiphol;;;Arriva;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;25682;37,6;;2568,2;;10;41;7;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;306;;;Amsterdam CS – Purmerend Overwhere;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;35836;67,2;;2239,7;;16;32;5;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;320;;;Hilversum - Amsterdam Amstel;;;Connexion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;49134;33,5;;1965,4;;25;88;5;;;Y;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;305;;;Amsterdam CS - Purmerend - de Rijp;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;28279;38,6;;1885,3;;15;44;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;489;;;Alblasserdam - Rotterdam Kralingse Zoom;;;Qbuzz;Betrouwbaar, frequent, comfortable, hubs, snel;;Variable timetable;;To-city HOV;3;26094;44,7;;1863,9;;14;35;6;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;327;;;Almere Haven – Amsterdam Amstel;;;Keolis Nederland;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;33451;42,7;;1858,4;;18;47;3;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;300;;;Haarlem – Amsterdam Bijlmer Arena;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;40728;33;;1851,3;;22;74;8;;28000;Y;25;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;456;;;Den Haag Leyenburg - Naaldwijk - Schiedam;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;27688;33,9;;1845,9;;15;49;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;488;;;Dordrecht - Rotterdam Kralingse Zoom;;;Qbuzz;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;23562;30,1;;1683;;14;47;5;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;404;;;Rockanje - Spijkenisse;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;23478;44;;1677;;14;32;8;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;314;;;Amsterdam CS - Edam – Hoorn;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;39326;47,2;;1512,5;;26;50;6;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;326;;;Almere – Blaricum Carpoolplaats;;;Keolis Nederland;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;20760;38,9;;1482,8;;14;32;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;497;;;Gouda - Schoonhoven;;;Arriva;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;19138;33,8;;1472,1;;13;34;7;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;315;;;Amsterdam Noord - Monnickendam - Marken;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;20844;43,1;;1389,6;;15;29;7;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;491;;;Sliedrecht - Rotterdam Zuidplein;;;Qbuzz;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;27633;33,2;;1381,6;;20;50;8;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;316;;;Amsterdam CS - Volendam – Edam;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;Varibel timetable;;To-city HOV;3;25641;42,7;;1349,5;;19;36;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;309;;;Amsterdam Sloterdijk – Purmerend de Purmer;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;23478;33,5;;1304,3;;18;42;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;397;;;Nieuw Vennep - Amsterdam;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;30935;28,1;;1288,9;;24;66;8;;;Y;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;328;;;Almere Haven – Amsterdam Zuidoost;;;Keolis Nederland;Betrouwbaar, frequent, comfortable, hubs, snel;;Variable timetable;;To-city HOV;3;30596;32,2;;1274,9;;24;57;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;322;;;Almere Parkwijk - Amsterdam Amstel;;;Keolis Nederland;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;36490;35,3;;1258,3;;29;62;5;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;308;;;Amsterdam Noord – Purmerend Weidevenne;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;15985;40;;1229,6;;13;24;7;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;382;;;Amsterdam Sloterdijk - IJmuiden;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;26646;34,8;;1158,5;;23;46;6;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;432;;;Leiden - Noordwijk ESA Estec [Ochtendspits];;;Arriva;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;9937;27,1;;1104,1;;9;22;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;403;;;Rockanje - Spijkenisse;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;25972;36,2;;1082,2;;24;43;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;400;;;Leiden - Zoetermeer;;;Arriva;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;14049;31,2;;1080,7;;13;27;13;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;340;;;Haarlem – Mijdrecht Rondweg;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;25683;25,3;;1070,1;;24;61;8;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;312;;;Amsterdam Noord – Edam;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;18999;40,7;;1055,5;;18;28;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;455;;;Delft - Pijnacker - Zoetermeer;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;34028;30,9;;1031,2;;33;66;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;395;;;Amsterdam Sloterdijk – Wijdewormer;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;11811;30,8;;984,3;;12;23;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;307;;;Amsterdam Noord – Purmerend de Purmer;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;15173;41,4;;948,3;;16;22;6;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;385;;;Haarlem - IJmuiden;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;13031;27,9;;930,8;;14;28;6;;;Y;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;391;;;Amsterdam CS – Zaanse Schans;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;20437;28,5;;928,9;;22;43;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;304;;;Amsterdam Noord – Purmerend de Purmer;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;15760;37,8;;927;;17;25;6;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;430;;;Leiden - Katwijk - Noordwijk;;;Arriva;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;9762;29,3;;887,4;;11;20;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;394;;;Amsterdam CS – Zaandam;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;17627;27,1;;881,4;;20;39;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;358;;;Kudelstaart/Aalsmeer - Amsterdam Zuid;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;21058;21,4;;877,4;;24;59;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;348;;;Mijdrecht/Uithoorn - Amsterdam Zuid;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;14806;18,5;;870,9;;17;48;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;431;;;Leiden - Katwijk;;;Arriva;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;10064;28,8;;838,7;;12;21;5;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;170;;;Zoetermeer, Centrum-West - Rodenrijs, Metrostation;;;RandstadRail;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;14923;33,2;;829;;18;27;6;;;;;;;;;;;;;;
R-net;173;;;Zoetermeer, Station Lansingerland-Zoetermeers - Rodenrijs Metrostation;;;RandstadRail;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;14568;28,2;;809,3;;18;31;4;;;;;;;;;;;;;;
R-net;357;;;Aalsmeer - Amsterdam centrum;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;19356;19,4;;806,5;;24;60;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;410;;;Leiden - Leiderdorp;;;Arriva;Betrouwbaar, frequent, comfortable, hubs, snel;;;;City HOV;2;5640;22,6;;805,7;;7;15;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;347;;;Uithoorn – Amsterdam centrum;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;18425;20,5;;767,7;;24;54;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;392;;;Amsterdam CS – Zaandam;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;13106;21,8;;595,7;;22;36;4;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;301;;;Amsterdam Noord - Purmerend - Edam;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;12531;10,9;;544,8;;23;69;1;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;319;;;Amsterdam Noord – Landsmeer;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;4591;25;;510,1;;9;11;6;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;341;;;Hoofddorp Spaarne Gasthuis – Amsterdam Zuid;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;Variable timetable;;To-city HOV;3;9020;8,9;;474,7;;19;61;8;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net Bizzliner;378;;;Amsterdam ZO – Edam;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;36428;36,4;;1349,2;;27;60;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net Bizzliner;375;;;Amsterdam ZO – Purmerend;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;30810;37;;1232,4;;25;50;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net Bizzliner;377;;;Amsterdam ZO – Purmerend;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;Vanaf 16 uur;;To-city HOV;3;30649;36,8;;1178,8;;26;50;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net Bizzliner;376;;;Amsterdam ZO – Purmerend;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;30733;38,4;;1138,2;;27;48;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
snelBuzz;388;;Utrecht ;Rotterdam Kralingse Zoom - Utrecht Centraal Station;;;Qbuzz;;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;55656;33,4;;2650,3;;21;100;3;;;;;;;;;;;;;;
snelBuzz;387;;Utrecht ;Gorinchem Station - Utrecht Centraal Station;;;Qbuzz;;;100 km/h, seatbelts, tot Gornichem;0,213;Inter-city Long HOV;1;43754;45,3;;3646,2;;12;58;4;;;;;;;;;;;;;;
U-link;34;;Utrecht ;P+R Westraven - Zeist (Amersfoort);;;Qbuzz;Fast, frequent, comfort;;;;To-city HOV;3;28342;33,3;;944,7;;30;51;6;;;;;;;;Y;P+R, Central Station;U-link (u-ov.info);;;;
U-link;41;;Utrecht ;Wijk bij Duurstede - Utrecht Centraal;;;Qbuzz;Fast, frequent, comfort;;;;To-city HOV;3;26812;35;;864,9;;31;46;8;;;;;;;;Y;Central Station;U-link (u-ov.info);;;;
U-link;50;;Utrecht ;Veenendaal / Wageningen - Utrecht Centraal;;;Qbuzz;Fast, frequent, comfort;;;;To-city HOV;3;13265;24,9;;829,1;;16;32;4;;;;;;;;Y;Central Station;U-link (u-ov.info);;;;
U-link;28;;Utrecht ;Vleuterweide - Utrecht Science Park;;;Qbuzz;Fast, frequent, comfort;;;;City HOV;2;18824;19,5;;753;;25;58;5;;;;;;;;Y;Station - Centraal Station -  P+R;U-link (u-ov.info);;;;
U-link;73;;Utrecht ;Maarssenbroek - Zeist;;;Qbuzz;Fast, frequent, comfort;;;;To-city HOV;3;25326;25,3;;666,5;;38;60;6;;;;;;;;Y;Central Station;U-link (u-ov.info);;;;
U-link;77;;Utrecht ;Nieuwegein - Bilthoven;;;Qbuzz;Fast, frequent, comfort;;;;To-city HOV;3;22671;21,3;;596,6;;38;64;6;;;;;;;;Y;Central Station;U-link (u-ov.info);;;;
;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
